Brand/Title,Platform,Date,Campaign,Optimization,Change(s),Optimization Score,Results/Next step,Date Change(s) was made,Optimization made by
Vector Partners,Bing,2024-01-14,NGX_Conversion_Value_Apr22,Decreased bid for age group 55-64 by -5%,Modified CPC target from $5 to $6,86%,Under observation,2024-01-14,John D.
Beta International,SEM,2024-08-26,FX_Awareness_Value_Mar23,Paused ad group Group 2 due to high CPA,Updated campaign targeting settings,94%,Under observation,2024-08-26,Alex K.
Peak Technologies,SEM,2024-04-26,XF_Brand_Premium_May24,Added 24 negative keywords,Created 3 new ad groups,94%,Under observation,2024-04-26,Alex K.
Core Select,Social,2023-12-18,WWJ_Conversion_Seasonal_Aug24,Created 4 new ad variations for testing,Updated ad copy and CTAs,98%,Under observation,2023-12-18,Emma L.
Core Select,Social,2024-03-18,WWJ_Brand_General_Mar23,Added 19 negative keywords,Created 3 new ad groups,86%,Under observation,2024-03-18,Emma L.
Vector Direct,Social,2024-03-27,NRI_Awareness_Value_Oct24,Created 2 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-03-27,Sarah M.
Nexus International,Bing,2024-11-02,EF_Prospecting_Seasonal_Feb22,Paused creative Version 1 and launched new variant,Created 3 new ad variations,91%,Under observation,2024-11-02,Mike R.
Omega Global,Bing,2024-02-29,PDD_Retargeting_Special_Apr23,Added 40 negative keywords,Added 25 negative keywords,91%,Under observation,2024-02-29,Sarah M.
Peak Technologies,Bing,2024-07-19,XF_Retargeting_Value_Q124,Created 4 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-07-19,Emma L.
Sigma Solutions,SEM,2024-05-05,CL_Awareness_Premium_Apr22,Created 5 new ad variations for testing,Created 3 new ad variations,92%,Implemented successfully,2024-05-05,John D.
Beta Media,SEM,2024-02-10,VBI_Engagement_Seasonal_Q422,Adjusted daily budget from $294 to $391,Daily budget adjusted from $200 to $300,100%,Under observation,2024-02-10,Mike R.
Beta Media,SEM,2024-07-16,VBI_Awareness_General_Jun23,Created 3 new ad variations for testing,Created 3 new ad variations,100%,Under observation,2024-07-16,Alex K.
Nexus International,SEM,2024-10-31,EF_Brand_Value_Aug22,Increased bid for top performing keywords by 20%,"Previous bid: $1.50, New bid: $2.00",92%,Under observation,2024-10-31,Sarah M.
Gamma Brand,SEM,2024-06-02,PA_Engagement_Seasonal_May24,Created 5 new ad variations for testing,Created 3 new ad variations,85%,Under observation,2024-06-02,Emma L.
Gamma Brand,Social,2024-08-24,GDC_Retargeting_Special_Jul23,Updated CPA target from $42 to $33,Daily budget adjusted from $200 to $300,89%,Under observation,2024-08-24,Alex K.
Vector Direct,Social,2024-04-08,NRI_Engagement_Premium_May24,Updated CPA target from $71 to $78,Daily budget adjusted from $200 to $300,92%,Under observation,2024-04-08,John D.
Alpha Group,Social,2024-06-05,SB_Conversion_Special_Jul22,Created 2 new ad variations for testing,Created 3 new ad variations,90%,Under observation,2024-06-05,Emma L.
Prime Direct,SEM,2024-03-20,UWK_Retargeting_Value_Jul22,Adjusted Desktop device bid by -5%,"Previous bid: $1.50, New bid: $2.00",87%,Under observation,2024-03-20,Mike R.
Alpha Group,SEM,2023-12-02,EJ_Brand_General_Nov22,Adjusted daily budget from $485 to $464,Redistributed budget across campaigns,87%,Under observation,2023-12-02,Alex K.
Vector Partners,Bing,2024-06-07,NGX_Prospecting_Special_Q122,Adjusted daily budget from $356 to $481,Redistributed budget across campaigns,86%,Under observation,2024-06-07,Sarah M.
Beta Global,SEM,2024-05-09,BPN_Retargeting_Value_Nov23,Created 5 new ad variations for testing,Updated ad copy and CTAs,92%,Under observation,2024-05-09,Emma L.
Apex Systems,Bing,2024-01-06,WZH_Conversion_Seasonal_May24,Paused creative Version 1 and launched new variant,Created 3 new ad variations,93%,Under observation,2024-01-06,Sarah M.
Echo Ventures,SEM,2024-01-17,ESJ_Retargeting_Seasonal_Feb24,Updated CPA target from $76 to $66,Redistributed budget across campaigns,88%,Under observation,2024-01-17,Sarah M.
Apex Systems,SEM,2024-01-15,WZH_Awareness_Value_Apr23,Created 2 new ad variations for testing,Updated ad copy and CTAs,97%,Under observation,2024-01-15,Emma L.
Echo Ventures,Bing,2024-09-11,ESJ_Conversion_Premium_Q124,Added 34 negative keywords,Added 25 negative keywords,89%,Under observation,2024-09-11,Mike R.
Core Global,Social,2024-02-17,AYN_Prospecting_Value_Oct24,Decreased bid for age group 35-44 by -10%,"Previous bid: $1.50, New bid: $2.00",96%,Under observation,2024-02-17,Sarah M.
Core Global,SEM,2024-01-17,AYN_Conversion_Value_Apr23,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,97%,Implemented successfully,2024-01-17,Mike R.
Iris Enterprises,Bing,2024-10-22,YCZ_Conversion_Special_Q123,Created 4 new ad variations for testing,Created 3 new ad variations,100%,Under observation,2024-10-22,Emma L.
Peak Technologies,SEM,2024-09-13,XF_Retargeting_Value_Feb22,Created 4 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-09-13,Alex K.
Sigma Corp,Bing,2024-07-17,PZR_Engagement_General_Jul22,Decreased bid for age group 35-44 by -5%,"Previous bid: $1.50, New bid: $2.00",98%,Under observation,2024-07-17,Sarah M.
Omega Global,SEM,2024-10-26,PDD_Engagement_General_Apr23,Updated CPA target from $68 to $29,Redistributed budget across campaigns,100%,Under observation,2024-10-26,Alex K.
Nova Technologies,Bing,2024-05-26,BRI_Brand_Seasonal_Q424,Adjusted Tablet device bid by 15%,"Previous bid: $1.50, New bid: $2.00",88%,Implemented successfully,2024-05-26,Mike R.
Alpha Corp,Social,2024-05-11,BF_Awareness_Premium_Oct23,Paused creative Version 1 and launched new variant,Updated ad copy and CTAs,92%,Under observation,2024-05-11,Alex K.
Gamma Direct,Social,2024-06-11,HP_Retargeting_General_Mar24,Adjusted daily budget from $276 to $112,Redistributed budget across campaigns,88%,Under observation,2024-06-11,John D.
Gamma Ventures,Social,2024-05-01,QK_Retargeting_Special_Q223,Adjusted daily budget from $366 to $347,Redistributed budget across campaigns,100%,Under observation,2024-05-01,Emma L.
Peak Technologies,Bing,2023-12-16,XF_Awareness_Value_Jun23,Adjusted daily budget from $275 to $431,Daily budget adjusted from $200 to $300,90%,Implemented successfully,2023-12-16,Sarah M.
Vector Direct,Bing,2024-05-11,NRI_Engagement_Special_Q222,Created 3 new ad groups with focused keywords,Created 3 new ad groups,90%,Under observation,2024-05-11,Emma L.
Beta International,Bing,2024-07-11,FX_Engagement_Special_Q222,Created 2 new ad groups with focused keywords,Updated campaign targeting settings,91%,Under observation,2024-07-11,John D.
Sigma Media,SEM,2024-05-08,RG_Awareness_Value_May23,Adjusted daily budget from $234 to $443,Redistributed budget across campaigns,95%,Under observation,2024-05-08,Alex K.
Beta International,Social,2024-05-22,FX_Engagement_Seasonal_May24,Adjusted daily budget from $444 to $461,Redistributed budget across campaigns,87%,Under observation,2024-05-22,Mike R.
Gamma Ventures,SEM,2024-01-22,QK_Prospecting_General_Feb22,Adjusted daily budget from $361 to $298,Redistributed budget across campaigns,89%,Under observation,2024-01-22,Emma L.
Core Select,SEM,2024-09-03,WWJ_Conversion_Value_Q124,Created 3 new ad groups with focused keywords,Added 25 negative keywords,95%,Implemented successfully,2024-09-03,Alex K.
Nexus International,SEM,2024-07-29,EF_Prospecting_Seasonal_Sep24,Decreased bid for age group 55-64 by -5%,Modified CPC target from $5 to $6,100%,Under observation,2024-07-29,Emma L.
Atlas Industries,SEM,2024-02-17,FR_Conversion_General_Dec23,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,86%,Under observation,2024-02-17,Alex K.
Echo Brand,Bing,2024-09-08,BW_Retargeting_General_Mar24,Created 2 new ad variations for testing,Created 3 new ad variations,93%,Implemented successfully,2024-09-08,Mike R.
Alpha Group,SEM,2024-08-29,GE_Awareness_Premium_Q124,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,86%,Under observation,2024-08-29,Mike R.
Iris Group,SEM,2024-03-24,YC_Brand_Seasonal_Q424,Adjusted Tablet device bid by 15%,Adjusted age targeting by +10%,98%,Under observation,2024-03-24,Sarah M.
Alpha Industries,Social,2024-09-10,YD_Engagement_Special_Sep23,Decreased bid for age group 55-64 by -5%,"Previous bid: $1.50, New bid: $2.00",95%,Implemented successfully,2024-09-10,Mike R.
Echo Brand,Social,2024-02-01,BW_Prospecting_Seasonal_Q224,Decreased bid for age group 65+ by -15%,Modified CPC target from $5 to $6,89%,Under observation,2024-02-01,Mike R.
Vector Partners,Bing,2024-02-04,NGX_Engagement_Special_Jun24,Created 5 new ad variations for testing,Updated ad copy and CTAs,99%,Under observation,2024-02-04,John D.
Beta International,Social,2024-07-13,FX_Retargeting_Value_Feb22,Adjusted daily budget from $496 to $475,Daily budget adjusted from $200 to $300,99%,Under observation,2024-07-13,Mike R.
Beta Global,SEM,2024-06-30,BPN_Retargeting_General_Apr22,Created 4 new ad groups with focused keywords,Created 3 new ad groups,95%,Under observation,2024-06-30,Sarah M.
Core Global,SEM,2023-12-17,AYN_Prospecting_Premium_Q323,Decreased bid for age group 18-24 by -15%,"Previous bid: $1.50, New bid: $2.00",99%,Under observation,2023-12-17,Emma L.
Sigma Corp,Social,2024-02-13,PZR_Engagement_Value_Q322,Updated CPA target from $52 to $30,Redistributed budget across campaigns,90%,Under observation,2024-02-13,Mike R.
Gamma Direct,SEM,2024-11-18,HP_Brand_Value_Jan22,Increased bid for top performing keywords by 20%,"Previous bid: $1.50, New bid: $2.00",89%,Under observation,2024-11-18,Alex K.
Iris Enterprises,Social,2024-11-14,YCZ_Prospecting_Special_Q423,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,89%,Under observation,2024-11-14,Sarah M.
Echo Ventures,Social,2024-01-15,ESJ_Awareness_Premium_Apr22,Decreased bid for age group 25-34 by -10%,"Previous bid: $1.50, New bid: $2.00",89%,Under observation,2024-01-15,Alex K.
Gamma Brand,Bing,2024-05-21,PA_Retargeting_Seasonal_Q423,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,91%,Under observation,2024-05-21,John D.
Orion Systems,Social,2024-05-21,FSG_Awareness_Special_Jun24,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,87%,Under observation,2024-05-21,Alex K.
Echo Brand,Bing,2024-03-08,BW_Conversion_General_Sep24,Adjusted daily budget from $482 to $300,Redistributed budget across campaigns,86%,Implemented successfully,2024-03-08,Sarah M.
Core Global,Social,2024-03-26,AYN_Conversion_Seasonal_Dec22,Adjusted Mobile device bid by 10%,"Previous bid: $1.50, New bid: $2.00",96%,Implemented successfully,2024-03-26,Sarah M.
Echo Ventures,Bing,2024-08-29,ESJ_Conversion_Premium_Jan23,Updated CPA target from $29 to $22,Daily budget adjusted from $200 to $300,85%,Under observation,2024-08-29,John D.
Nexus International,Bing,2024-10-10,EF_Brand_Value_May23,Updated CPA target from $74 to $71,Daily budget adjusted from $200 to $300,89%,Under observation,2024-10-10,Mike R.
Iris Group,Social,2024-08-24,YC_Awareness_Special_Apr24,Added 50 negative keywords,Updated campaign targeting settings,87%,Under observation,2024-08-24,Emma L.
Vector Partners,Social,2024-01-07,NGX_Awareness_Value_Jun23,Created 2 new ad groups with focused keywords,Created 3 new ad groups,90%,Under observation,2024-01-07,Sarah M.
Gamma Brand,Bing,2024-05-19,PA_Engagement_Seasonal_Jul24,Created 3 new ad variations for testing,Updated ad copy and CTAs,89%,Implemented successfully,2024-05-19,Mike R.
Gamma Ventures,Social,2024-06-30,QK_Engagement_Special_Dec22,Adjusted daily budget from $234 to $464,Daily budget adjusted from $200 to $300,100%,Under observation,2024-06-30,Mike R.
Nexus International,SEM,2024-05-30,EF_Conversion_Seasonal_Dec24,Paused ad group Group 5 due to high CPA,Updated campaign targeting settings,88%,Under observation,2024-05-30,Alex K.
Gamma Brand,SEM,2024-03-28,GDC_Conversion_Special_Aug24,Decreased bid for age group 45-54 by -15%,"Previous bid: $1.50, New bid: $2.00",86%,Under observation,2024-03-28,Emma L.
Gamma Direct,Bing,2024-06-24,HP_Conversion_Seasonal_Q422,Created 2 new ad groups with focused keywords,Updated campaign targeting settings,96%,Under observation,2024-06-24,John D.
Core Select,SEM,2024-06-16,WWJ_Prospecting_Seasonal_Oct22,Decreased bid for age group 35-44 by -10%,"Previous bid: $1.50, New bid: $2.00",99%,Under observation,2024-06-16,Sarah M.
Echo Brand,Social,2024-07-18,BW_Brand_Value_Q122,Created 3 new ad groups with focused keywords,Updated campaign targeting settings,92%,Under observation,2024-07-18,Emma L.
Nexus Holdings,Bing,2024-10-14,LH_Prospecting_Value_Sep24,Updated CPA target from $20 to $68,Redistributed budget across campaigns,88%,Under observation,2024-10-14,Sarah M.
Atlas Industries,Bing,2024-02-04,FR_Prospecting_Value_Aug24,Increased bid for top performing keywords by 5%,"Previous bid: $1.50, New bid: $2.00",98%,Implemented successfully,2024-02-04,Mike R.
Sigma Solutions,SEM,2024-08-08,CL_Conversion_Seasonal_Dec22,Decreased bid for age group 18-24 by -5%,Modified CPC target from $5 to $6,86%,Under observation,2024-08-08,Sarah M.
Vector Partners,Social,2024-05-03,NGX_Brand_Seasonal_Aug22,Updated CPA target from $60 to $77,Redistributed budget across campaigns,92%,Under observation,2024-05-03,Sarah M.
Orion Systems,SEM,2024-01-17,FSG_Brand_Seasonal_Jun24,Created 4 new ad groups with focused keywords,Created 3 new ad groups,88%,Under observation,2024-01-17,Sarah M.
Iris Enterprises,SEM,2024-04-07,YCZ_Engagement_Value_Q322,Paused creative Version 3 and launched new variant,Created 3 new ad variations,91%,Implemented successfully,2024-04-07,Mike R.
Apex Select,Social,2024-05-24,LYY_Prospecting_Special_Jan22,Paused ad group Group 3 due to high CPA,Created 3 new ad groups,90%,Under observation,2024-05-24,Emma L.
Iris Enterprises,SEM,2024-07-17,YCZ_Engagement_Premium_Jul22,Increased bid for top performing keywords by 5%,"Previous bid: $1.50, New bid: $2.00",86%,Implemented successfully,2024-07-17,Sarah M.
Orion Systems,Bing,2024-06-01,FSG_Engagement_Special_Jun24,Paused creative Version 5 and launched new variant,Updated ad copy and CTAs,87%,Under observation,2024-06-01,John D.
Sigma Corp,Social,2024-01-10,PZR_Conversion_Value_Oct23,Paused ad group Group 4 due to high CPA,Added 25 negative keywords,90%,Implemented successfully,2024-01-10,Emma L.
Beta International,Bing,2024-06-06,FX_Engagement_Special_Q222,Increased bid for top performing keywords by 15%,"Previous bid: $1.50, New bid: $2.00",90%,Under observation,2024-06-06,Emma L.
Apex Select,Social,2024-10-20,LYY_Retargeting_General_Jan23,Created 5 new ad groups with focused keywords,Added 25 negative keywords,87%,Under observation,2024-10-20,Sarah M.
Atlas Industries,Bing,2024-10-11,FR_Conversion_Special_May22,Paused ad group Group 4 due to high CPA,Updated campaign targeting settings,96%,Under observation,2024-10-11,Emma L.
Quantum Select,SEM,2024-04-10,WZ_Retargeting_Premium_Q323,Created 3 new ad variations for testing,Created 3 new ad variations,93%,Under observation,2024-04-10,Emma L.
Vector Direct,SEM,2024-02-13,NRI_Engagement_Value_May24,Added 25 negative keywords,Created 3 new ad groups,86%,Implemented successfully,2024-02-13,Sarah M.
Echo Ventures,SEM,2024-02-22,ESJ_Brand_Value_Q122,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,85%,Implemented successfully,2024-02-22,Mike R.
Apex Select,Social,2024-08-27,LYY_Conversion_Premium_Jan23,Created 2 new ad variations for testing,Created 3 new ad variations,86%,Under observation,2024-08-27,Sarah M.
Nexus Holdings,Bing,2024-05-11,LH_Brand_Value_Q424,Increased bid for top performing keywords by 15%,Modified CPC target from $5 to $6,90%,Implemented successfully,2024-05-11,Mike R.
Nexus International,Bing,2024-09-19,EF_Brand_Seasonal_Jan23,Paused ad group Group 5 due to high CPA,Created 3 new ad groups,87%,Under observation,2024-09-19,Emma L.
Sigma Media,SEM,2024-05-07,RG_Engagement_General_Dec22,Updated CPA target from $82 to $60,Daily budget adjusted from $200 to $300,96%,Under observation,2024-05-07,Alex K.
Core Select,Social,2024-11-10,WWJ_Awareness_Seasonal_Jul24,Adjusted daily budget from $473 to $100,Redistributed budget across campaigns,86%,Under observation,2024-11-10,Mike R.
Gamma Direct,Social,2024-02-04,HP_Brand_Special_Oct24,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,95%,Under observation,2024-02-04,John D.
Prime Direct,SEM,2024-04-07,UWK_Engagement_Value_May24,Adjusted Mobile device bid by -5%,Adjusted age targeting by +10%,88%,Implemented successfully,2024-04-07,John D.
Echo Ventures,Social,2024-02-17,ESJ_Retargeting_General_Apr22,Created 4 new ad variations for testing,Updated ad copy and CTAs,88%,Implemented successfully,2024-02-17,Alex K.
Gamma Direct,SEM,2023-12-31,HP_Conversion_Seasonal_May24,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,88%,Under observation,2023-12-31,Sarah M.
Echo Ventures,SEM,2024-08-30,ESJ_Brand_General_Jan22,Adjusted Tablet device bid by 5%,Modified CPC target from $5 to $6,85%,Under observation,2024-08-30,Sarah M.
Apex Systems,Social,2024-01-14,WZH_Awareness_Value_Oct24,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,93%,Under observation,2024-01-14,Mike R.
Vector Partners,Bing,2024-06-12,NGX_Brand_Premium_Dec22,Decreased bid for age group 25-34 by -15%,Adjusted age targeting by +10%,85%,Under observation,2024-06-12,Mike R.
Vector Holdings,SEM,2023-12-07,KO_Conversion_Premium_Q124,Adjusted Desktop device bid by -15%,Adjusted age targeting by +10%,88%,Under observation,2023-12-07,Emma L.
Vector Holdings,Bing,2024-01-09,KO_Engagement_Seasonal_Sep23,Updated CPA target from $43 to $67,Redistributed budget across campaigns,96%,Under observation,2024-01-09,John D.
Beta Media,SEM,2024-04-06,VBI_Brand_Seasonal_Q322,Created 2 new ad variations for testing,Created 3 new ad variations,88%,Under observation,2024-04-06,Mike R.
Atlas Industries,Bing,2024-06-09,FR_Brand_Value_May22,Adjusted Tablet device bid by 5%,Modified CPC target from $5 to $6,92%,Under observation,2024-06-09,John D.
Beta International,Social,2024-01-24,FX_Conversion_Premium_Jan23,Paused ad group Group 2 due to high CPA,Added 25 negative keywords,89%,Under observation,2024-01-24,John D.
Apex Systems,Social,2024-09-23,WZH_Conversion_Seasonal_Q422,Added 14 negative keywords,Added 25 negative keywords,97%,Under observation,2024-09-23,Alex K.
Peak Technologies,Bing,2023-11-30,XF_Awareness_Seasonal_Jun24,Created 2 new ad variations for testing,Updated ad copy and CTAs,89%,Under observation,2023-11-30,Alex K.
Sigma Media,Bing,2024-04-18,RG_Awareness_Special_Oct24,Decreased bid for age group 35-44 by -10%,Modified CPC target from $5 to $6,100%,Under observation,2024-04-18,Emma L.
Alpha Group,SEM,2024-06-17,EJ_Engagement_Seasonal_May24,Updated CPA target from $24 to $70,Redistributed budget across campaigns,92%,Under observation,2024-06-17,Emma L.
Omega Solutions,Social,2024-05-14,TO_Prospecting_Premium_May22,Decreased bid for age group 45-54 by -5%,Modified CPC target from $5 to $6,88%,Implemented successfully,2024-05-14,Sarah M.
Orion Systems,Social,2024-05-06,FSG_Engagement_Seasonal_Q422,Created 2 new ad variations for testing,Created 3 new ad variations,99%,Under observation,2024-05-06,Emma L.
Core Global,SEM,2024-08-13,AYN_Conversion_General_Nov22,Decreased bid for age group 65+ by -5%,Adjusted age targeting by +10%,89%,Implemented successfully,2024-08-13,Alex K.
Nexus Holdings,SEM,2024-03-05,LH_Engagement_Value_May24,Paused ad group Group 4 due to high CPA,Added 25 negative keywords,96%,Implemented successfully,2024-03-05,Mike R.
Sigma Holdings,SEM,2024-10-14,EY_Brand_Seasonal_Feb22,Paused creative Version 2 and launched new variant,Updated ad copy and CTAs,100%,Under observation,2024-10-14,Sarah M.
Vector Holdings,Social,2024-02-15,KO_Brand_Premium_Oct24,Adjusted daily budget from $245 to $114,Redistributed budget across campaigns,86%,Under observation,2024-02-15,Alex K.
Alpha Industries,SEM,2024-11-04,YD_Retargeting_Premium_Jun24,Added 36 negative keywords,Updated campaign targeting settings,85%,Implemented successfully,2024-11-04,John D.
Vector Holdings,SEM,2024-09-26,KO_Prospecting_Seasonal_Nov23,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,93%,Under observation,2024-09-26,Emma L.
Quantum Select,Social,2024-03-14,WZ_Conversion_Value_Apr23,Updated CPA target from $94 to $33,Daily budget adjusted from $200 to $300,96%,Under observation,2024-03-14,Alex K.
Echo Brand,SEM,2024-07-27,BW_Brand_General_Jan22,Decreased bid for age group 65+ by -10%,Adjusted age targeting by +10%,93%,Under observation,2024-07-27,Mike R.
Sigma Corp,Bing,2023-12-23,PZR_Brand_Special_Jun23,Added 30 negative keywords,Updated campaign targeting settings,89%,Implemented successfully,2023-12-23,Emma L.
Echo Brand,Social,2024-06-18,BW_Awareness_General_Apr24,Paused creative Version 5 and launched new variant,Created 3 new ad variations,95%,Implemented successfully,2024-06-18,Sarah M.
Vector Holdings,Bing,2024-02-19,KO_Retargeting_General_Nov22,Adjusted daily budget from $250 to $149,Redistributed budget across campaigns,89%,Implemented successfully,2024-02-19,Alex K.
Core Select,Social,2024-03-16,WWJ_Prospecting_Seasonal_Nov23,Adjusted Desktop device bid by 5%,Adjusted age targeting by +10%,96%,Under observation,2024-03-16,Mike R.
Sigma Solutions,Bing,2023-12-21,CL_Brand_General_Oct22,Paused creative Version 4 and launched new variant,Created 3 new ad variations,88%,Implemented successfully,2023-12-21,Emma L.
