Brand/Title,Platform,Date,Campaign,Optimization,Change(s),Optimization Score,Results/Next step,Date Change(s) was made,Optimization made by
Vector Direct,SEM,2023-12-21,NRI_Prospecting_Special_Q122,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,99%,Under observation,2023-12-21,Sarah M.
Iris Group,SEM,2024-10-12,YC_Awareness_Special_Jun24,Adjusted daily budget from $102 to $331,Redistributed budget across campaigns,91%,Implemented successfully,2024-10-12,Sarah M.
Alpha Corp,Bing,2024-01-29,BF_Conversion_Special_Oct24,Adjusted Desktop device bid by 5%,Adjusted age targeting by +10%,100%,Under observation,2024-01-29,John D.
Sigma Corp,Bing,2024-05-06,PZR_Engagement_General_Q123,Increased bid for top performing keywords by 5%,Modified CPC target from $5 to $6,92%,Under observation,2024-05-06,Mike R.
Omega Global,Bing,2024-06-07,PDD_Brand_General_Nov22,Decreased bid for age group 25-34 by -15%,"Previous bid: $1.50, New bid: $2.00",94%,Implemented successfully,2024-06-07,Emma L.
Vector Direct,SEM,2024-11-09,NRI_Prospecting_Value_Q322,Created 4 new ad variations for testing,Created 3 new ad variations,90%,Implemented successfully,2024-11-09,Emma L.
Nexus Holdings,SEM,2024-01-30,LH_Awareness_General_Jun23,Paused ad group Group 5 due to high CPA,Updated campaign targeting settings,90%,Under observation,2024-01-30,John D.
Echo Ventures,SEM,2024-09-23,ESJ_Brand_Premium_May24,Increased bid for top performing keywords by 5%,"Previous bid: $1.50, New bid: $2.00",88%,Under observation,2024-09-23,Emma L.
Gamma Ventures,SEM,2024-11-17,QK_Awareness_Value_Oct24,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,88%,Under observation,2024-11-17,Mike R.
Orion Systems,Bing,2024-08-11,FSG_Engagement_Seasonal_May24,Increased bid for top performing keywords by 15%,"Previous bid: $1.50, New bid: $2.00",88%,Under observation,2024-08-11,Alex K.
Sigma Corp,Bing,2024-05-25,PZR_Awareness_Seasonal_Jun24,Created 3 new ad groups with focused keywords,Added 25 negative keywords,100%,Implemented successfully,2024-05-25,Emma L.
Prime Direct,Bing,2023-11-30,UWK_Awareness_Value_Apr23,Increased bid for top performing keywords by 25%,Modified CPC target from $5 to $6,100%,Under observation,2023-11-30,John D.
Nova Technologies,Bing,2024-04-03,BRI_Conversion_General_May23,Decreased bid for age group 35-44 by -10%,Adjusted age targeting by +10%,86%,Under observation,2024-04-03,Sarah M.
Alpha Group,Bing,2024-05-26,WX_Awareness_Special_Jun24,Updated CPA target from $34 to $32,Daily budget adjusted from $200 to $300,85%,Implemented successfully,2024-05-26,Sarah M.
Prime Direct,Social,2024-10-07,UWK_Awareness_General_Jun23,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,90%,Under observation,2024-10-07,Emma L.
Sigma Solutions,Social,2024-11-11,CL_Awareness_General_Jan22,Created 3 new ad variations for testing,Created 3 new ad variations,89%,Under observation,2024-11-11,John D.
Alpha Corp,Social,2024-09-21,BF_Engagement_Premium_Jul22,Created 3 new ad variations for testing,Updated ad copy and CTAs,96%,Under observation,2024-09-21,Sarah M.
Vector Holdings,Social,2024-06-21,KO_Retargeting_Special_Mar24,Increased bid for top performing keywords by 15%,Modified CPC target from $5 to $6,95%,Under observation,2024-06-21,Alex K.
Gamma Direct,Bing,2024-07-02,HP_Engagement_Seasonal_Q422,Increased bid for top performing keywords by 20%,Adjusted age targeting by +10%,97%,Under observation,2024-07-02,Alex K.
Nexus International,Social,2024-08-08,EF_Prospecting_Special_Oct22,Created 3 new ad groups with focused keywords,Added 25 negative keywords,100%,Under observation,2024-08-08,Mike R.
Omega Solutions,Bing,2024-08-31,TO_Retargeting_Seasonal_Dec23,Created 3 new ad groups with focused keywords,Added 25 negative keywords,99%,Under observation,2024-08-31,Alex K.
Iris Enterprises,Social,2024-07-09,YCZ_Retargeting_Special_Apr23,Created 2 new ad variations for testing,Created 3 new ad variations,97%,Under observation,2024-07-09,Alex K.
Gamma Brand,Bing,2024-08-10,GDC_Awareness_Value_Oct24,Updated CPA target from $63 to $66,Daily budget adjusted from $200 to $300,92%,Implemented successfully,2024-08-10,Mike R.
Vector Holdings,SEM,2024-01-21,KO_Retargeting_Premium_Aug22,Paused creative Version 1 and launched new variant,Updated ad copy and CTAs,96%,Implemented successfully,2024-01-21,Mike R.
Vector Direct,SEM,2023-12-17,NRI_Retargeting_General_Apr22,Increased bid for top performing keywords by 20%,"Previous bid: $1.50, New bid: $2.00",93%,Under observation,2023-12-17,Sarah M.
Gamma Ventures,SEM,2024-07-15,QK_Engagement_General_Apr23,Created 2 new ad groups with focused keywords,Created 3 new ad groups,86%,Implemented successfully,2024-07-15,Alex K.
Gamma Ventures,Bing,2024-10-26,QK_Retargeting_Seasonal_Apr23,Paused creative Version 4 and launched new variant,Created 3 new ad variations,86%,Under observation,2024-10-26,Emma L.
Vector Holdings,SEM,2024-01-28,KO_Conversion_Value_Mar23,Added 48 negative keywords,Updated campaign targeting settings,95%,Under observation,2024-01-28,Emma L.
Atlas Industries,Social,2024-06-14,FR_Conversion_Seasonal_May24,Updated CPA target from $37 to $37,Redistributed budget across campaigns,94%,Implemented successfully,2024-06-14,Alex K.
Peak Technologies,Bing,2024-03-10,XF_Brand_Value_Sep24,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,89%,Implemented successfully,2024-03-10,Sarah M.
Nova Technologies,Bing,2024-05-22,BRI_Engagement_Special_Jan23,Adjusted Tablet device bid by 15%,Modified CPC target from $5 to $6,98%,Under observation,2024-05-22,Alex K.
Echo Brand,SEM,2024-08-17,BW_Retargeting_Premium_Q323,Decreased bid for age group 25-34 by -15%,Modified CPC target from $5 to $6,86%,Under observation,2024-08-17,Sarah M.
Echo Brand,Bing,2023-12-25,BW_Conversion_General_Mar24,Created 3 new ad groups with focused keywords,Updated campaign targeting settings,86%,Under observation,2023-12-25,Emma L.
Sigma Media,Bing,2024-03-24,RG_Conversion_General_Mar24,Created 2 new ad variations for testing,Updated ad copy and CTAs,97%,Under observation,2024-03-24,Mike R.
Nexus International,Bing,2024-03-06,EF_Engagement_Premium_Jan24,Updated CPA target from $48 to $67,Daily budget adjusted from $200 to $300,91%,Under observation,2024-03-06,Sarah M.
Beta Global,SEM,2024-08-13,BPN_Retargeting_Seasonal_Dec23,Paused ad group Group 4 due to high CPA,Created 3 new ad groups,93%,Under observation,2024-08-13,Alex K.
Beta Media,Bing,2024-07-19,VBI_Engagement_Seasonal_May23,Adjusted daily budget from $178 to $265,Daily budget adjusted from $200 to $300,94%,Under observation,2024-07-19,Alex K.
Quantum Select,SEM,2024-08-19,WZ_Prospecting_Special_Q422,Adjusted daily budget from $358 to $181,Redistributed budget across campaigns,97%,Under observation,2024-08-19,Sarah M.
Alpha Industries,Social,2024-05-26,YD_Engagement_Seasonal_Jan23,Updated CPA target from $91 to $21,Daily budget adjusted from $200 to $300,96%,Under observation,2024-05-26,Alex K.
Vector Partners,SEM,2024-06-06,NGX_Engagement_Seasonal_Q324,Updated CPA target from $89 to $56,Daily budget adjusted from $200 to $300,96%,Under observation,2024-06-06,Alex K.
Iris Enterprises,Bing,2024-04-23,YCZ_Prospecting_Seasonal_Sep24,Decreased bid for age group 55-64 by -15%,"Previous bid: $1.50, New bid: $2.00",90%,Implemented successfully,2024-04-23,Alex K.
Gamma Brand,Bing,2024-11-01,GDC_Brand_Special_Q122,Paused ad group Group 4 due to high CPA,Added 25 negative keywords,91%,Under observation,2024-11-01,Emma L.
Beta Global,Bing,2024-07-16,BPN_Engagement_Seasonal_Q422,Increased bid for top performing keywords by 5%,"Previous bid: $1.50, New bid: $2.00",86%,Under observation,2024-07-16,Mike R.
Beta Global,Social,2024-06-19,BPN_Brand_Seasonal_Jun24,Updated CPA target from $75 to $60,Daily budget adjusted from $200 to $300,97%,Under observation,2024-06-19,Alex K.
Gamma Brand,SEM,2024-11-16,GDC_Prospecting_Seasonal_Jun24,Adjusted Mobile device bid by -5%,Modified CPC target from $5 to $6,94%,Under observation,2024-11-16,Mike R.
Iris Enterprises,SEM,2024-10-27,YCZ_Retargeting_Seasonal_Q222,Paused creative Version 5 and launched new variant,Created 3 new ad variations,89%,Implemented successfully,2024-10-27,Alex K.
Echo Brand,Bing,2024-11-04,BW_Engagement_Value_Q124,Updated CPA target from $21 to $90,Daily budget adjusted from $200 to $300,88%,Under observation,2024-11-04,Alex K.
Beta International,Bing,2024-03-10,FX_Conversion_Seasonal_Nov23,Updated CPA target from $47 to $72,Daily budget adjusted from $200 to $300,90%,Under observation,2024-03-10,Alex K.
Beta Media,Bing,2024-02-24,VBI_Awareness_General_Jan22,Adjusted Mobile device bid by 10%,Adjusted age targeting by +10%,87%,Under observation,2024-02-24,John D.
Beta Media,Social,2024-09-16,VBI_Engagement_Seasonal_Q422,Created 3 new ad groups with focused keywords,Updated campaign targeting settings,92%,Under observation,2024-09-16,Alex K.
Beta Global,Social,2024-07-29,BPN_Engagement_Seasonal_Q422,Updated CPA target from $94 to $39,Redistributed budget across campaigns,95%,Implemented successfully,2024-07-29,Sarah M.
Gamma Brand,Bing,2024-03-16,FN_Conversion_Seasonal_Nov23,Added 37 negative keywords,Created 3 new ad groups,96%,Under observation,2024-03-16,Mike R.
Vector Holdings,Social,2024-05-25,KO_Brand_Special_Apr24,Paused creative Version 2 and launched new variant,Created 3 new ad variations,93%,Implemented successfully,2024-05-25,Sarah M.
Sigma Corp,SEM,2024-01-01,PZR_Prospecting_Special_Jun23,Adjusted Tablet device bid by -15%,Modified CPC target from $5 to $6,97%,Implemented successfully,2024-01-01,Sarah M.
Alpha Group,Bing,2024-08-28,GW_Conversion_Special_Aug24,Adjusted daily budget from $287 to $300,Daily budget adjusted from $200 to $300,94%,Under observation,2024-08-28,Alex K.
Nova Technologies,Bing,2024-05-28,BRI_Prospecting_Value_Sep24,Paused creative Version 5 and launched new variant,Created 3 new ad variations,89%,Under observation,2024-05-28,Sarah M.
Apex Select,SEM,2023-12-14,LYY_Retargeting_Premium_Aug22,Updated CPA target from $49 to $28,Redistributed budget across campaigns,96%,Under observation,2023-12-14,Sarah M.
Vector Direct,Social,2024-07-21,NRI_Retargeting_Special_Mar24,Paused creative Version 3 and launched new variant,Created 3 new ad variations,93%,Implemented successfully,2024-07-21,Mike R.
Core Select,Bing,2024-05-29,WWJ_Brand_General_Dec23,Paused creative Version 5 and launched new variant,Updated ad copy and CTAs,97%,Implemented successfully,2024-05-29,Sarah M.
Vector Direct,Social,2024-05-18,NRI_Prospecting_General_May22,Updated CPA target from $97 to $20,Daily budget adjusted from $200 to $300,99%,Under observation,2024-05-18,John D.
Nova Technologies,SEM,2024-02-08,BRI_Engagement_General_Dec22,Created 2 new ad groups with focused keywords,Updated campaign targeting settings,92%,Under observation,2024-02-08,Mike R.
Gamma Ventures,SEM,2024-07-26,QK_Brand_Value_Q122,Paused creative Version 4 and launched new variant,Created 3 new ad variations,92%,Under observation,2024-07-26,Alex K.
Alpha Corp,SEM,2024-09-12,BF_Retargeting_Premium_Feb24,Increased bid for top performing keywords by 15%,"Previous bid: $1.50, New bid: $2.00",97%,Under observation,2024-09-12,Alex K.
Nexus Holdings,Social,2024-03-13,LH_Conversion_General_Sep24,Decreased bid for age group 45-54 by -15%,"Previous bid: $1.50, New bid: $2.00",98%,Under observation,2024-03-13,Alex K.
Core Select,Social,2024-11-09,WWJ_Retargeting_Special_Q223,Added 47 negative keywords,Added 25 negative keywords,92%,Under observation,2024-11-09,Sarah M.
Sigma Media,Bing,2024-08-17,RG_Conversion_Special_Aug24,Created 3 new ad groups with focused keywords,Updated campaign targeting settings,88%,Under observation,2024-08-17,Alex K.
Alpha Group,Social,2024-01-10,YUH_Conversion_Special_Aug22,Increased bid for top performing keywords by 25%,Modified CPC target from $5 to $6,85%,Implemented successfully,2024-01-10,Emma L.
Vector Direct,Bing,2023-12-16,NRI_Retargeting_Special_Dec23,Updated CPA target from $49 to $81,Redistributed budget across campaigns,96%,Under observation,2023-12-16,Alex K.
Sigma Media,Social,2024-04-02,RG_Retargeting_Value_Mar22,Paused ad group Group 1 due to high CPA,Created 3 new ad groups,98%,Under observation,2024-04-02,John D.
Gamma Brand,Bing,2024-06-03,GDC_Awareness_Value_Oct24,Adjusted Desktop device bid by 5%,Adjusted age targeting by +10%,88%,Under observation,2024-06-03,Alex K.
Beta Media,Social,2024-09-08,VBI_Brand_Premium_Dec24,Created 5 new ad variations for testing,Created 3 new ad variations,98%,Under observation,2024-09-08,Alex K.
Vector Holdings,Bing,2024-09-05,KO_Retargeting_Seasonal_Q422,Updated CPA target from $59 to $93,Redistributed budget across campaigns,97%,Implemented successfully,2024-09-05,John D.
Gamma Direct,SEM,2024-01-14,HP_Prospecting_Premium_Sep22,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,86%,Under observation,2024-01-14,John D.
Iris Group,Social,2024-09-26,YC_Awareness_Value_Apr23,Paused creative Version 3 and launched new variant,Created 3 new ad variations,96%,Under observation,2024-09-26,John D.
Echo Ventures,Bing,2024-11-22,ESJ_Retargeting_Premium_Feb24,Adjusted daily budget from $427 to $353,Redistributed budget across campaigns,85%,Under observation,2024-11-22,Alex K.
Echo Brand,Bing,2024-09-25,BW_Engagement_Seasonal_Jul24,Adjusted Mobile device bid by 10%,"Previous bid: $1.50, New bid: $2.00",86%,Under observation,2024-09-25,John D.
Alpha Corp,Social,2024-06-15,BF_Brand_General_Jun23,Updated CPA target from $71 to $95,Daily budget adjusted from $200 to $300,85%,Implemented successfully,2024-06-15,John D.
Iris Group,Social,2024-05-19,YC_Prospecting_Seasonal_Nov23,Adjusted daily budget from $332 to $306,Daily budget adjusted from $200 to $300,93%,Under observation,2024-05-19,Alex K.
Sigma Media,SEM,2024-05-16,RG_Engagement_Premium_Jul22,Updated CPA target from $88 to $93,Redistributed budget across campaigns,99%,Implemented successfully,2024-05-16,Alex K.
Vector Holdings,Bing,2024-07-15,KO_Awareness_Value_May23,Adjusted daily budget from $346 to $159,Redistributed budget across campaigns,87%,Under observation,2024-07-15,Sarah M.
Gamma Direct,Bing,2024-05-22,HP_Engagement_Premium_Apr24,Paused creative Version 3 and launched new variant,Created 3 new ad variations,94%,Under observation,2024-05-22,Mike R.
Beta Global,Social,2024-05-02,BPN_Engagement_Seasonal_Jan23,Created 3 new ad variations for testing,Created 3 new ad variations,100%,Implemented successfully,2024-05-02,Sarah M.
Vector Partners,SEM,2024-03-20,NGX_Retargeting_Seasonal_Q423,Paused ad group Group 5 due to high CPA,Created 3 new ad groups,89%,Implemented successfully,2024-03-20,John D.
Iris Group,SEM,2024-08-27,YC_Prospecting_Special_Jun23,Decreased bid for age group 35-44 by -5%,Adjusted age targeting by +10%,100%,Implemented successfully,2024-08-27,Alex K.
Omega Solutions,Social,2024-08-11,TO_Conversion_Value_Jan22,Paused ad group Group 5 due to high CPA,Added 25 negative keywords,86%,Under observation,2024-08-11,Emma L.
Vector Holdings,Bing,2024-06-12,KO_Brand_Special_Q122,Adjusted daily budget from $334 to $161,Redistributed budget across campaigns,95%,Under observation,2024-06-12,John D.
Alpha Industries,Social,2024-05-08,YD_Brand_Premium_Dec24,Decreased bid for age group 25-34 by -5%,Adjusted age targeting by +10%,92%,Under observation,2024-05-08,Alex K.
Prime Direct,Social,2024-08-05,UWK_Engagement_General_Jul22,Created 4 new ad groups with focused keywords,Created 3 new ad groups,97%,Under observation,2024-08-05,Sarah M.
Orion Systems,SEM,2024-04-10,FSG_Retargeting_General_Nov22,Decreased bid for age group 45-54 by -15%,"Previous bid: $1.50, New bid: $2.00",89%,Under observation,2024-04-10,John D.
Core Select,Bing,2024-01-31,WWJ_Engagement_Seasonal_Jul24,Created 5 new ad variations for testing,Updated ad copy and CTAs,93%,Under observation,2024-01-31,Alex K.
Nexus International,SEM,2024-11-11,EF_Prospecting_Seasonal_Q224,Increased bid for top performing keywords by 15%,Adjusted age targeting by +10%,88%,Under observation,2024-11-11,Mike R.
Beta Media,Bing,2024-09-05,VBI_Brand_Seasonal_Q424,Updated CPA target from $64 to $22,Redistributed budget across campaigns,88%,Under observation,2024-09-05,Alex K.
Sigma Corp,Social,2024-05-23,PZR_Awareness_Special_Aug24,Updated CPA target from $77 to $30,Redistributed budget across campaigns,94%,Under observation,2024-05-23,Sarah M.
Alpha Corp,Bing,2024-10-12,BF_Awareness_Value_Sep23,Created 2 new ad variations for testing,Created 3 new ad variations,90%,Under observation,2024-10-12,Mike R.
Peak Technologies,Bing,2024-09-28,XF_Conversion_Value_Jan22,Updated CPA target from $76 to $66,Redistributed budget across campaigns,98%,Under observation,2024-09-28,John D.
Orion Systems,Bing,2024-11-16,FSG_Engagement_Premium_May24,Adjusted daily budget from $185 to $303,Daily budget adjusted from $200 to $300,88%,Under observation,2024-11-16,Emma L.
Nexus International,SEM,2024-08-18,EF_Retargeting_Value_Nov23,Created 3 new ad variations for testing,Created 3 new ad variations,97%,Under observation,2024-08-18,Sarah M.
Echo Brand,Bing,2024-01-30,BW_Brand_Seasonal_Q322,Paused ad group Group 1 due to high CPA,Added 25 negative keywords,96%,Implemented successfully,2024-01-30,Mike R.
Vector Holdings,Social,2024-08-30,KO_Conversion_Special_Q123,Adjusted daily budget from $402 to $405,Redistributed budget across campaigns,98%,Under observation,2024-08-30,Alex K.
Omega Global,SEM,2024-08-26,PDD_Conversion_Value_Q222,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,96%,Under observation,2024-08-26,Sarah M.
Omega Global,SEM,2024-08-17,PDD_Awareness_Special_Oct24,Decreased bid for age group 45-54 by -5%,"Previous bid: $1.50, New bid: $2.00",100%,Implemented successfully,2024-08-17,Emma L.
Omega Global,Bing,2024-04-21,PDD_Conversion_General_May23,Paused creative Version 5 and launched new variant,Updated ad copy and CTAs,91%,Under observation,2024-04-21,Alex K.
Apex Systems,Bing,2024-02-15,WZH_Awareness_General_Apr24,Added 34 negative keywords,Created 3 new ad groups,92%,Under observation,2024-02-15,Emma L.
Vector Partners,Bing,2024-10-21,NGX_Engagement_Special_Sep23,Updated CPA target from $72 to $44,Daily budget adjusted from $200 to $300,90%,Under observation,2024-10-21,John D.
Sigma Solutions,Bing,2024-11-16,CL_Conversion_Value_Q124,Adjusted daily budget from $264 to $109,Daily budget adjusted from $200 to $300,86%,Implemented successfully,2024-11-16,John D.
Core Select,SEM,2024-04-09,WWJ_Engagement_General_Apr23,Updated CPA target from $21 to $49,Daily budget adjusted from $200 to $300,89%,Under observation,2024-04-09,Sarah M.
Prime Direct,Social,2024-08-05,UWK_Awareness_Seasonal_Q124,Adjusted daily budget from $269 to $141,Daily budget adjusted from $200 to $300,86%,Under observation,2024-08-05,Emma L.
Beta Global,Social,2024-03-01,BPN_Prospecting_Special_Q423,Created 2 new ad groups with focused keywords,Added 25 negative keywords,92%,Under observation,2024-03-01,Emma L.
Vector Partners,Bing,2024-07-16,NGX_Retargeting_General_Mar24,Paused ad group Group 5 due to high CPA,Updated campaign targeting settings,91%,Under observation,2024-07-16,Mike R.
Peak Technologies,Bing,2024-08-31,XF_Conversion_Value_Oct23,Decreased bid for age group 45-54 by -5%,Adjusted age targeting by +10%,91%,Under observation,2024-08-31,John D.
Alpha Industries,Social,2024-10-13,YD_Retargeting_Value_Feb22,Paused ad group Group 2 due to high CPA,Created 3 new ad groups,88%,Under observation,2024-10-13,Sarah M.
Gamma Brand,Bing,2024-11-10,GDC_Engagement_Seasonal_May23,Created 2 new ad variations for testing,Created 3 new ad variations,90%,Under observation,2024-11-10,Alex K.
Prime Direct,Bing,2024-05-24,UWK_Engagement_Seasonal_May23,Adjusted Tablet device bid by -15%,"Previous bid: $1.50, New bid: $2.00",100%,Under observation,2024-05-24,Alex K.
Quantum Select,Bing,2023-12-04,WZ_Retargeting_Seasonal_Dec23,Created 3 new ad groups with focused keywords,Created 3 new ad groups,86%,Under observation,2023-12-04,Emma L.
Echo Brand,SEM,2024-09-09,BW_Engagement_Seasonal_Sep23,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,99%,Under observation,2024-09-09,Alex K.
Alpha Corp,Social,2024-07-11,BF_Prospecting_Special_Q423,Created 4 new ad groups with focused keywords,Created 3 new ad groups,85%,Implemented successfully,2024-07-11,Alex K.
Echo Ventures,Social,2024-10-06,ESJ_Brand_Special_Q122,Adjusted Mobile device bid by -5%,Modified CPC target from $5 to $6,87%,Under observation,2024-10-06,Alex K.
Echo Ventures,SEM,2024-09-01,ESJ_Brand_Premium_Dec24,Created 4 new ad variations for testing,Updated ad copy and CTAs,95%,Under observation,2024-09-01,Alex K.
Beta Global,SEM,2024-02-23,BPN_Brand_Value_Q424,Paused ad group Group 4 due to high CPA,Added 25 negative keywords,88%,Under observation,2024-02-23,Emma L.
Core Global,SEM,2024-05-29,AYN_Conversion_General_Sep24,Adjusted Mobile device bid by -15%,"Previous bid: $1.50, New bid: $2.00",100%,Implemented successfully,2024-05-29,John D.
Sigma Solutions,Bing,2024-09-04,CL_Awareness_Special_Q223,Updated CPA target from $27 to $98,Redistributed budget across campaigns,86%,Implemented successfully,2024-09-04,Mike R.
Beta Global,Bing,2024-01-14,BPN_Conversion_General_May23,Adjusted Desktop device bid by -10%,"Previous bid: $1.50, New bid: $2.00",92%,Under observation,2024-01-14,Sarah M.
Atlas Industries,Social,2024-11-03,FR_Brand_Seasonal_Aug22,Updated CPA target from $33 to $41,Daily budget adjusted from $200 to $300,97%,Under observation,2024-11-03,Sarah M.
Iris Enterprises,Social,2024-08-31,YCZ_Conversion_Value_Jul23,Updated CPA target from $72 to $75,Redistributed budget across campaigns,92%,Under observation,2024-08-31,Sarah M.
Echo Ventures,Social,2024-07-12,ESJ_Conversion_Value_Jan22,Adjusted daily budget from $471 to $117,Redistributed budget across campaigns,85%,Under observation,2024-07-12,Mike R.
